DateTime,CLOSE,PCR1,PCR2,PCR3,RSI,ZSCORE, PE_M2M ,SIGNAL
2024-10-14 10:22:00+05:30,113.8,0,0,0,41.42877659,32.95150105,0,
2024-10-14 10:22:00+05:30,113.8,-2.7,-1.35,-2.7,43.99564615,33.13484887,-2.7,
2024-10-14 10:22:00+05:30,113.8,-4.1,-2.05,-4.1,45.24000931,33.22373196,-4.1,
2024-10-14 10:22:00+05:30,113.8,-3.15,-1.575,-3.15,44.40174283,33.16385578,-3.15,
2024-10-14 10:22:00+05:30,113.8,-2.8,-1.4,-2.8,44.0864017,33.14133141,-2.8,
2024-10-14 10:23:00+05:30,113.8,-1.25,-0.625,-1.25,42.64578505,33.03843022,-1.25,BUY CALL
2024-10-14 10:23:00+05:30,113.8,-0.7,-0.35,-0.7,42.11658961,33.00063055,-0.7,
2024-10-14 10:23:00+05:30,113.8,-2.8,-1.4,-2.8,44.0864017,33.14133141,-2.8,
2024-10-14 10:23:00+05:30,113.8,-2.35,-1.175,-2.35,43.67566837,33.11199332,-2.35,
2024-10-14 10:23:00+05:30,113.8,-1.25,-0.625,-1.25,42.64578505,33.03843022,-1.25,
2024-10-14 10:24:00+05:30,115.45,1.6,0.8,1.6,40.22428747,33.45617802,1.6,
2024-10-14 10:24:00+05:30,115.45,2.65,1.325,2.65,39.48536679,33.40339797,2.65,
2024-10-14 10:24:00+05:30,115.45,4.85,2.425,4.85,38.02192015,33.29886607,4.85,
2024-10-14 10:24:00+05:30,115.45,5.55,2.775,5.55,37.57876221,33.26721193,5.55,
2024-10-14 10:24:00+05:30,115.45,7.35,3.675,7.35,36.48526796,33.1891052,7.35,
2024-10-14 10:25:00+05:30,115.45,2.9,1.45,2.9,39.31341727,33.39111586,2.9,EXIT
2024-10-14 10:25:00+05:30,115.45,1.2,0.6,1.2,40.51310789,33.47680805,1.2,
2024-10-14 10:25:00+05:30,115.45,0.75,0.375,0.75,40.84302892,33.50037384,0.75,
2024-10-14 10:25:00+05:30,115.45,5.25,2.625,5.25,37.76741576,33.28068718,5.25,
2024-10-14 10:25:00+05:30,115.45,5.85,2.925,5.85,37.39198399,33.25387063,5.85,
2024-10-14 10:26:00+05:30,115.45,7.8,3.9,7.8,36.22176611,33.17028364,7.8,BUY PUT
2024-10-14 10:26:00+05:30,115.45,11.3,5.65,11.3,34.29532148,33.03268045,11.3,
2024-10-14 10:26:00+05:30,115.45,8.9,4.45,8.9,35.59339571,33.12540004,8.9,
2024-10-14 10:26:00+05:30,115.45,8.3,4.15,8.3,35.93341469,33.14968711,8.3,
2024-10-14 10:26:00+05:30,115.45,8.25,4.125,8.25,35.96204307,33.15173199,8.25,
2024-10-14 10:27:00+05:30,106.55,10.35,5.175,10.35,34.74202912,33.46532619,10.35,
2024-10-14 10:27:00+05:30,106.55,6.45,3.225,6.45,38.20923376,33.71298367,6.45,
2024-10-14 10:27:00+05:30,106.55,7.1,3.55,7.1,37.54942367,33.66585438,7.1,
2024-10-14 10:27:00+05:30,106.55,8.55,4.275,8.55,36.02552263,33.5570043,8.55,
2024-10-14 10:27:00+05:30,106.55,8.65,4.325,8.65,35.91767999,33.54930126,8.65,
2024-10-14 10:28:00+05:30,106.55,6.4,3.2,6.4,38.25941136,33.71656778,6.4,
2024-10-14 10:28:00+05:30,106.55,5.8,2.9,5.8,38.85524741,33.7591275,5.8,
2024-10-14 10:28:00+05:30,106.55,4.9,2.45,4.9,39.72774593,33.82144882,4.9,
2024-10-14 10:28:00+05:30,106.55,6.45,3.225,6.45,38.20923376,33.71298367,6.45,
2024-10-14 10:28:00+05:30,106.55,4.6,2.3,4.6,40.01307162,33.84182923,4.6,
2024-10-14 10:28:00+05:30,106.55,5.45,2.725,5.45,39.19753722,33.78357677,5.45,
2024-10-14 10:29:00+05:30,106.55,2.55,1.275,2.55,41.89276185,33.97609282,2.55,
2024-10-14 10:29:00+05:30,106.55,2.7,1.35,2.7,41.75922713,33.96655462,2.7,
2024-10-14 10:29:00+05:30,106.55,3.1,1.55,3.1,41.40011552,33.9409038,3.1,
2024-10-14 10:29:00+05:30,106.55,3.7,1.85,3.7,40.85306706,33.9018289,3.7,
2024-10-14 10:29:00+05:30,106.55,2.05,1.025,2.05,42.33348867,34.00757331,2.05,EXIT
2024-10-14 10:30:00+05:30,114.35,3.65,1.825,3.65,41.39002987,34.7762487,3.65,
2024-10-14 10:30:00+05:30,114.35,-0.15,-0.075,-0.15,44.29332779,34.98362712,-0.15,
2024-10-14 10:30:00+05:30,114.35,3.35,1.675,3.35,41.58475483,34.79015763,3.35,
2024-10-14 10:30:00+05:30,114.35,1.6,0.8,1.6,42.758198,34.873975,1.6,
2024-10-14 10:30:00+05:30,114.35,2.4,1.2,2.4,42.21365422,34.83507901,2.4,
2024-10-14 10:31:00+05:30,114.35,4.75,2.375,4.75,40.69137725,34.72634494,4.75,
2024-10-14 10:31:00+05:30,114.35,5.4,2.7,5.4,40.28951404,34.69764043,5.4,
2024-10-14 10:31:00+05:30,114.35,6.5,3.25,6.5,39.62722308,34.65033393,6.5,
2024-10-14 10:31:00+05:30,114.35,6.6,3.3,6.6,39.5680929,34.64611035,6.6,
2024-10-14 10:31:00+05:30,114.35,8.75,4.375,8.75,38.33814929,34.55825723,8.75,
2024-10-14 10:32:00+05:30,114.35,5.5,2.75,5.5,40.22839238,34.69327459,5.5,
2024-10-14 10:32:00+05:30,114.35,6.05,3.025,6.05,39.89551072,34.66949733,6.05,
2024-10-14 10:32:00+05:30,114.35,3.8,1.9,3.8,41.29334966,34.76934297,3.8,
2024-10-14 10:32:00+05:30,114.35,2.15,1.075,2.15,42.38232826,34.84712716,2.15,
2024-10-14 10:32:00+05:30,114.35,3.55,1.775,3.55,41.45473525,34.78087051,3.55,
2024-10-14 10:33:00+05:30,112.4,2.55,1.275,2.55,42.19274258,35.60775112,2.55,
2024-10-14 10:33:00+05:30,112.4,4.4,2.2,4.4,40.83356719,35.51066716,4.4,
2024-10-14 10:33:00+05:30,112.4,4.35,2.175,4.35,40.86745317,35.51308759,4.35,
2024-10-14 10:33:00+05:30,112.4,4.15,2.075,4.15,41.00356137,35.5228096,4.15,
2024-10-14 10:33:00+05:30,112.4,2.9,1.45,2.9,41.87521471,35.58507056,2.9,
2024-10-14 10:34:00+05:30,112.4,2.8,1.4,2.8,41.94655066,35.59016598,2.8,
